ItemGroup,Item,Site,Item_location,Family_Code,Week,Year,Week_Year,Demand,Prod_Start,POs,R_Create_Date,Receipts,Inventory_PO,Inventory_R,Demand_I,Demand_R,Demand_RI,Inventory_D,Inventory,Transfer_In,Transfer_Out,SS_Weeks,WOS,Sim_Inv,Sim_WOS,VendorId,Week_Date
FBGB,20061751061,3200,20061751061_3200,900BR,9,2024,9_2024,6,0,0,null,0,8,0,0,0,0,0,8,0,0,7,1.42,8,1.42,20008777,3/3/2024
FBGB,20061751001,3220,20061751001_3220,900BR,9,2024,9_2024,1,0,0,null,0,4,0,0,0,0,0,4,0,0,7,4,4,4,20008777,3/3/2024
FBGB,20061751033,3220,20061751033_3220,900BR,9,2024,9_2024,4,0,0,null,0,-1,0,0,0,0,0,-1,0,0,7,-0.25,-1,-0.25,20008777,3/3/2024
FBGB,20061751052,3210,20061751052_3210,900BR,9,2024,9_2024,13,0,0,null,0,51,0,0,0,0,0,51,0,0,7,4.16,51,4.16,20008777,3/3/2024
FBGB,20061751001,3210,20061751001_3210,900BR,9,2024,9_2024,1,0,0,null,0,0,0,0,0,0,0,0,0,0,7,0,0,0,20008777,3/3/2024
FBGB,20061751053,3000,20061751053_3000,900BR,9,2024,9_2024,18,0,0,null,0,17,0,0,0,0,0,17,0,0,7,1.01,17,1.01,20008777,3/3/2024
FBGB,20061751053,3010,20061751053_3010,900BR,9,2024,9_2024,13,0,0,null,0,11,0,0,0,0,0,11,0,0,7,0.92,11,0.92,20008777,3/3/2024
FBGB,20061751065,3200,20061751065_3200,900BR,9,2024,9_2024,10,0,0,null,0,8,0,0,0,0,0,8,0,0,7,0.86,8,0.86,20008777,3/3/2024
FBGB,20061751002,3200,20061751002_3200,900BR,9,2024,9_2024,1,0,0,null,0,3,0,0,0,0,0,3,0,0,7,3,3,3,20008777,3/3/2024
FBGB,20061751033,3210,20061751033_3210,900BR,9,2024,9_2024,4,0,0,null,0,-3,0,0,0,0,0,-3,0,0,7,-0.75,-3,-0.75,20008777,3/3/2024
FBGB,20061751058,3010,20061751058_3010,900BR,9,2024,9_2024,15,0,0,null,0,-9,0,0,0,0,0,-9,0,0,7,-0.66,-9,-0.66,20008777,3/3/2024
FBGB,20061751057,3220,20061751057_3220,900BR,9,2024,9_2024,14,0,0,null,0,-12,0,0,0,0,0,-12,0,0,7,-0.93,-12,-0.93,20008777,3/3/2024
FBGB,20061751058,3220,20061751058_3220,900BR,9,2024,9_2024,14,0,0,null,0,-7,0,0,0,0,0,-7,0,0,7,-0.53,-7,-0.53,20008777,3/3/2024
FBGB,20061751002,3210,20061751002_3210,900BR,9,2024,9_2024,1,0,0,null,0,1,0,0,0,0,0,1,0,0,7,1,1,1,20008777,3/3/2024
FBGB,20061751053,3220,20061751053_3220,900BR,9,2024,9_2024,10,0,0,null,0,33,0,0,0,0,0,33,0,0,7,3.7,33,3.7,20008777,3/3/2024
FBGB,20061751002,3220,20061751002_3220,900BR,9,2024,9_2024,1,0,0,null,0,3,0,0,0,0,0,3,0,0,7,3,3,3,20008777,3/3/2024
FBGB,20061751061,3000,20061751061_3000,900BR,9,2024,9_2024,8,0,0,null,0,-3,0,0,0,0,0,-3,0,0,7,-0.38,-3,-0.38,20008777,3/3/2024
FBGB,20061751001,3010,20061751001_3010,900BR,9,2024,9_2024,1,0,0,null,0,8,0,0,0,0,0,8,0,0,7,8,8,8,20008777,3/3/2024
FBGB,20061751052,3220,20061751052_3220,900BR,9,2024,9_2024,7,0,0,null,0,18,0,0,0,0,0,18,0,0,7,2.87,18,2.87,20008777,3/3/2024
FBGB,20061751057,3210,20061751057_3210,900BR,9,2024,9_2024,16,0,0,null,0,-2,0,0,0,0,0,-2,0,0,7,-0.14,-2,-0.14,20008777,3/3/2024
FBGB,20061751058,3210,20061751058_3210,900BR,9,2024,9_2024,16,0,0,null,0,36,0,0,0,0,0,36,0,0,7,2.48,36,2.48,20008777,3/3/2024
FBGB,20061751033,3010,20061751033_3010,900BR,9,2024,9_2024,1,0,0,null,0,33,0,0,0,0,0,33,0,0,7,12.52,33,12.52,20008777,3/3/2024
FBGB,20061751052,3010,20061751052_3010,900BR,9,2024,9_2024,11,0,0,null,0,27,0,0,0,0,0,27,0,0,7,2.63,27,2.63,20008777,3/3/2024
FBGB,20061751053,3210,20061751053_3210,900BR,9,2024,9_2024,17,0,0,null,0,75,0,0,0,0,0,75,0,0,7,4.82,75,4.82,20008777,3/3/2024
FBGB,20061751052,3200,20061751052_3200,900BR,9,2024,9_2024,8,0,0,null,0,15,0,0,0,0,0,15,0,0,7,2.06,15,2.06,20008777,3/3/2024
FBGB,20061751001,3000,20061751001_3000,900BR,9,2024,9_2024,1,0,0,null,0,-1,0,0,0,0,0,-1,0,0,7,-1,-1,-1,20008777,3/3/2024
FBGB,20061751057,3000,20061751057_3000,900BR,9,2024,9_2024,21,0,0,null,0,11,0,0,0,0,0,11,0,0,7,0.56,11,0.56,20008777,3/3/2024
FBGB,20061751057,3200,20061751057_3200,900BR,9,2024,9_2024,13,0,0,null,0,7,0,0,0,0,0,7,0,0,7,0.59,7,0.59,20008777,3/3/2024
FBGB,20061751061,3210,20061751061_3210,900BR,9,2024,9_2024,12,0,0,null,0,4,0,0,0,0,0,4,0,0,7,0.35,4,0.35,20008777,3/3/2024
